
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  Nice product ...India's No One. Brand\n"  '\n  \n']","5","AEJVVO62APJN26EU6PWYTUJXBTLA","135"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  If u are a WiFi user ....then pls don't buy this phone...."  'I have received replacement with same problem.'  'So finally I returned the phone ( as both phone have same WiFi issues)'  "May everyone didn't notice the WiFi connectivity time ....."  'I stay full time in WiFi  so pls check how longer it stay connected to WiFi ..'  'In my case after 2 to 3 hr ...WiFi shows unavailable until I restart phone.\n'  '\n  \n']","1","AFXQK37IFI2AOOX2M32POFIWAIBA","128"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  King of budget phones  but 3 star because of very annoying add's. What the hell xiaomi thinking. They didn't given it for free i have paid for the device!"  'Amazon delivery 5/5 (on time)'  'Camera 4/5 wide angle is very good'  'Display 5/5'  'Network 4/5'  'Charging. 3.5/5 its taking aprox 2.02 min to  3 min if mobile data is ON'  'Gorilla glass5  3/5 (already got a scratch even after taking care'  "Finger print  4/5 (not fast as other phone's)"  'Face unlock 3/5  ( realme u1 is double faster)'  'IR blaster works great\n'  '\n  \n']","3","AHK2VGUMJ6RCYQK2NMRRPI5KXRBQ","118"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  This product is very good and very good quality thank you Amazon thank you so much'  'I am use this device 6 day very smuthly and very fast and fast charge charging time 1 hour 45\n'  '\n  \n']","5","AERMW3SVIYWO24F2VJLIRGGSME6A","123"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  I purchased it from redmi store. Its performance is awesome.Super clarity display  good battery backup  super loud speaker with thunder voice.... Etc.... U can buy this without thinking more\n'  '\n  \n']","5","AHTTYCNBVTNK7XDJ3WXCBCIISIUA","141"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  I got this device on 1st November 1 week before our famous Jagadhatri Puja in Chandannagar and this was my best purchase till date.'  'Design:- First of all this thing just glows. The very first moment I saw this phone I was literally drooling. The back and froth Gorilla Glass back gives this an unmatched premium feeling in the hand.'  'So classy so elegant yet so eye catching and charming. At least 5-6 strangers have asked me about this device. This phone is sure a looker.'  'Camera :- The camera can give competition to phones that are 2-3x more expensive than this.'  "This phone with GCam 7 just blows the competition out of water  nothing even comes close.The GCam 7 works on this device so flawless without any lags or stutters whatsoever it's pure magic just see the samples  straight out of the camera."  'The selfies of this device are even better than iPhone 7   I compared them side by side and the selfies frrom this one have better dynamic range  better contrast and better depth effect. Night Sight too works like a charm'  'GCam7+ Redmi Note 8=♥️🔥'  'The addition of wideangle and macro are just cherry on the top. Wide Angle takes decent shots is good lighting conditions and you can take videos with the macro cam as well. Both does the job pretty well. I will give the GCam 7 link at the end🤗'  'Display:- The FullHD+ screen  yes a FullHD+ screen in a sub 10K phone  the screen is bright  vibrant produces great colour and contarsts and watching YouTube videos and movies makes the experience so much better.'  "Performance:- 665 is a very well rounded SoC it's running very well  without any lags or hiccups experienced till date and PUBG runs pretty smooth without any lags and stutters whatsoever and this doesn't heats up at all."  'Battery and Charging :- I have experienced about 1 and 1/2 days of battery backup with moderate usage and thanks to the 18W fast Charge it charges up 0-80 in around 75mins.'  'Speaker:- The downfiring speaker is very loud and crisp you can literally feel air pumping out of the speaker in a bass heavy song and the speaker has a self cleaning feature too. The earpiece is loud crisp  and clear too.This phone media consuming to much better.'  'Extra Features:-'  'IR blaster ✔️'  'Gorilla Glass 5 back and front great hand feel  premium built and scratch resistant✔️'  'Self cleaning speaker✔️'  'Wireless FM✔️'  'P2i coating✔️'  'USB C✔️'  'Fast 18W charger in the box✔️'  'Cons:- There are ads in the UI but a mere 5mins of tweaking and voila you will never see a ad in your device'  'Very very difficult to get hold off one in these flash sales.'  'Overall this phone is redefining what a budget phone can do  from a Great built quality with Gorilla Glass 5 on both front and back  with downright best camera in this segment  to the presence of great speakers  to the presence of P2i water resistant coating which gives a great peace of mind to the presence of IR blaster  Wireless FM to the presence of USB C this phone is a perfect from every department no phone even comes close.'  'If your budget is within Rs 12000 this is the best buy you can buy just go for it✌️'  'Fair warning:- After using the GCam 7 on this device you will have a difficult time switching to any other phone even 2-3x more expensive cause the picture quality produced by this phone is just lit.'  'Get this phone asap and Install GCam 7 and let this perfect combo amaze you♥️🔥'  'Thanks for reading this review if you find this helpful like this and have a great day.\n'  '\n  \n']","5","AGKCWOKO7AD7ZINMJ34W5VRWAO5A","88"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  Purple is too good.\n'  '\n  \n']","5","AEXUOWK3DDTBY7C3FU2HQ2FCGXWQ","89"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  It took around 9 days to get the product delivered. It's a great phone. Battery backup is awesome. Fast charger is provided in the box. Front Camera isn't that great  but still  it's very good. Rear camera takes good pictures. Fingerprint is also very fast  but little bit slow as compared to my Realme 3 pro. Still fingerprint is fast enough. Also  the glass back is awesome. Overall a good phone. Got it for 8 999/-"  "Also got Rs 100 Amazon cashback. It's a killer deal even in 9 999/-. Just go for it.\n"  '\n  \n']","5","AFUEUFGJYYDYBEAMIUH376FUXDLA","88"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  "\n  You may miss such like a worthy mobile in just 13k  if you don't buy. Awesome product. Be hurry to purchase.\n"  '\n  \n']","5","AHIYSZBWNWADDBSRZROPELYBCWFQ","86"
"['\n\n\n\n\n\n\n\n\n\n  \n  \n    '  '\n  I have purchased redmi note 8 at 25th October and within 8 days Dust particle accumulated in camera lens'  "Don't buy!!!!!!!!!!\n"  '\n  \n']","1","AGO7AJI3PBPXIFOSM7LG464XBSKA","91"
